Central,Recurso,Punto_de_ medición,X_coord,Y_coord,Frecuencia ,Norma_tabla,Parámetro,Fecha,Medición,Observación
Mazar,Agua residual,Trampa_de_grasa_gasolinera,766016,9713380,Semestral,Acuerdo_ministerial 97a_tabla 9 ,Color real,19/03/2018 10:35,12,
Mazar,Agua residual,Trampa_de_grasa_gasolinera,766016,9713380,Semestral,Acuerdo_ministerial 97a_tabla 9,Sólidos totales gravimétricos,19/03/2018 10:35,130,
Mazar,Agua residual,Trampa_de_grasa_gasolinera,766016,9713380,Semestral,Acuerdo_ministerial 97a_tabla 9,Sólidos suspendidos totales ,19/03/2018 10:35,2,
Mazar,Agua residual,Trampa_de_grasa_gasolinera,766016,9713380,Semestral,Acuerdo_ministerial 97a_tabla 9,Sulfuros,19/03/2018 10:35,0.014,
Mazar,Agua residual,Trampa_de_grasa_gasolinera,766016,9713380,Semestral,Acuerdo_ministerial 97a_tabla 9,Aluminio,19/03/2018 10:35,0.2789,
Mazar,Agua residual,Trampa_de_grasa_gasolinera,766016,9713380,Semestral,Acuerdo_ministerial 97a_tabla 9,Hierro,19/03/2018 10:35,0.4391,
Mazar,Agua residual,Trampa_de_grasa_gasolinera,766016,9713380,Semestral,Acuerdo_ministerial 97a_tabla 9,Manganeso,19/03/2018 10:35,0.1399,
Mazar,Agua residual,Trampa_de_grasa_gasolinera,766016,9713380,Semestral,Acuerdo_ministerial 97a_tabla 9,Níquel,19/03/2018 10:35,0.0004,
Mazar,Agua residual,Trampa_de_grasa_gasolinera,766016,9713380,Semestral,Acuerdo_ministerial 97a_tabla 9,Fósforo,19/03/2018 10:35,0.05,
Mazar,Agua residual,Trampa_de_grasa_gasolinera,766016,9713380,Semestral,Acuerdo_ministerial 97a_tabla 9,Aceites y grasas,19/03/2018 10:35,0.6,
Mazar,Agua residual,Trampa_de_grasa_gasolinera,766016,9713380,Semestral,Acuerdo_ministerial 97a_tabla 9,DBO5,19/03/2018 10:35,6.63,
Mazar,Agua residual,Trampa_de_grasa_gasolinera,766016,9713380,Semestral,Acuerdo_ministerial 97a_tabla 9,Coliformes fecales,19/03/2018 10:35,1,
Mazar,Agua residual,Trampa_de_grasa_gasolinera,766016,9713380,Semestral,Acuerdo_ministerial 97a_tabla 9,pH,19/03/2018 10:35,7.71,
Mazar,Agua residual,PTAR_campamento_arenales_entrada,770360,9716146,Semestral,Acuerdo_ministerial 97a_tabla 9,Sólidos totales gravimétricos,19/03/2018 17:15,510,
Mazar,Agua residual,PTAR_campamento_arenales_entrada,770360,9716146,Semestral,Acuerdo_ministerial 97a_tabla 9,Sólidos suspendidos totales ,19/03/2018 17:15,2,
Mazar,Agua residual,PTAR_campamento_arenales_entrada,770360,9716146,Semestral,Acuerdo_ministerial 97a_tabla 9,Sulfuros,19/03/2018 17:15,0.03,
Mazar,Agua residual,PTAR_campamento_arenales_entrada,770360,9716146,Semestral,Acuerdo_ministerial 97a_tabla 9,Aluminio,19/03/2018 17:15,5.543,
Mazar,Agua residual,PTAR_campamento_arenales_entrada,770360,9716146,Semestral,Acuerdo_ministerial 97a_tabla 9,Hierro,19/03/2018 17:15,8.08,
Mazar,Agua residual,PTAR_campamento_arenales_entrada,770360,9716146,Semestral,Acuerdo_ministerial 97a_tabla 9,Manganeso,19/03/2018 17:15,0.3748,
Mazar,Agua residual,PTAR_campamento_arenales_entrada,770360,9716146,Semestral,Acuerdo_ministerial 97a_tabla 9,Níquel,19/03/2018 17:15,0.0109,
Mazar,Agua residual,PTAR_campamento_arenales_entrada,770360,9716146,Semestral,Acuerdo_ministerial 97a_tabla 9,Fósforo,19/03/2018 17:15,1.41,
Mazar,Agua residual,PTAR_campamento_arenales_entrada,770360,9716146,Semestral,Acuerdo_ministerial 97a_tabla 9,Aceites y grasas,19/03/2018 17:15,1,
Mazar,Agua residual,PTAR_campamento_arenales_entrada,770360,9716146,Semestral,Acuerdo_ministerial 97a_tabla 9,DBO5,19/03/2018 17:15,154.8,
