Central,Recurso,Punto_de_ medición,X_coord,Y_coord,Frecuencia ,Norma_tabla,Parámetro,Fecha,Medición,Observación
Mazar,Agua de rio,Antes de la central alazán,760333,9715272,Semestral,Acuerdo_ministerial 97a_tabla 2,Turbiedad,19/03/2018 14:58,2.26,
Mazar,Agua de rio,Antes de la central alazán,760333,9715272,Semestral,Acuerdo_ministerial 97a_tabla 2,DBO5,19/03/2018 14:58,3,
Mazar,Agua de rio,Antes de la central alazán,760333,9715272,Semestral,Acuerdo_ministerial 97a_tabla 2,DQO,19/03/2018 14:58,3.96,
Mazar,Agua de rio,Antes de la central alazán,760333,9715272,Semestral,Acuerdo_ministerial 97a_tabla 2,Coliformes fecales,19/03/2018 14:58,1,
Mazar,Agua de rio,Antes de la central alazán,760333,9715272,Semestral,Acuerdo_ministerial 97a_tabla 2,pH,19/03/2018 14:58,8.5,
Mazar,Agua de rio,Antes de la central san antonio       ,763838,9713824,Semestral,Acuerdo_ministerial 97a_tabla 2,Turbiedad,19/03/2018 14:31,3.7,
Mazar,Agua de rio,Antes de la central san antonio       ,763838,9713824,Semestral,Acuerdo_ministerial 97a_tabla 2,DBO5,19/03/2018 14:31,1.83,
Mazar,Agua de rio,Antes de la central san antonio       ,763838,9713824,Semestral,Acuerdo_ministerial 97a_tabla 2,DQO,19/03/2018 14:31,2.58,
Mazar,Agua de rio,Antes de la central san antonio       ,763838,9713824,Semestral,Acuerdo_ministerial 97a_tabla 2,Coliformes fecales,19/03/2018 14:31,1,
Mazar,Agua de rio,Antes de la central san antonio       ,763838,9713824,Semestral,Acuerdo_ministerial 97a_tabla 2,pH,19/03/2018 14:31,8.49,
Mazar,Agua de rio,Antes de la unión con el río paute,764452,9713106,Semestral,Acuerdo_ministerial 97a_tabla 2,Turbiedad,19/03/2018 14:10,3.51,
Mazar,Agua de rio,Antes de la unión con el río paute,764452,9713106,Semestral,Acuerdo_ministerial 97a_tabla 2,DBO5,19/03/2018 14:10,1.77,
Mazar,Agua de rio,Antes de la unión con el río paute,764452,9713106,Semestral,Acuerdo_ministerial 97a_tabla 2,DQO,19/03/2018 14:10,3.99,
Mazar,Agua de rio,Antes de la unión con el río paute,764452,9713106,Semestral,Acuerdo_ministerial 97a_tabla 2,Coliformes fecales,19/03/2018 14:10,100,
Mazar,Agua de rio,Antes de la unión con el río paute,764452,9713106,Semestral,Acuerdo_ministerial 97a_tabla 2,pH,19/03/2018 14:10,8.3,
Mazar,Agua de rio,Antes de la central alazán,760333,9715272,Anual,Acuerdo_ministerial 97a_tabla 2,Turbiedad,28/12/2018 0:00,54.3,
Mazar,Agua de rio,Antes de la central alazán,760333,9715272,Anual,Acuerdo_ministerial 97a_tabla 2,DBO5,28/12/2018 0:00,6,
Mazar,Agua de rio,Antes de la central alazán,760333,9715272,Anual,Acuerdo_ministerial 97a_tabla 2,DQO,28/12/2018 0:00,10,
Mazar,Agua de rio,Antes de la central alazán,760333,9715272,Anual,Acuerdo_ministerial 97a_tabla 2,Coliformes fecales,28/12/2018 0:00,18.5,
Mazar,Agua de rio,Antes de la central alazán,760333,9715272,Anual,Acuerdo_ministerial 97a_tabla 2,pH,28/12/2018 0:00,7,
Mazar,Agua de rio,Antes de la unión con el río paute,764452,9713106,Anual,Acuerdo_ministerial 97a_tabla 2,Turbiedad,28/12/2018 0:00,8.71,
Mazar,Agua de rio,Antes de la unión con el río paute,764452,9713106,Anual,Acuerdo_ministerial 97a_tabla 2,DBO5,28/12/2018 0:00,6,
Mazar,Agua de rio,Antes de la unión con el río paute,764452,9713106,Anual,Acuerdo_ministerial 97a_tabla 2,DQO,28/12/2018 0:00,10,
Mazar,Agua de rio,Antes de la unión con el río paute,764452,9713106,Anual,Acuerdo_ministerial 97a_tabla 2,Coliformes fecales,28/12/2018 0:00,76.8,
Mazar,Agua de rio,Antes de la unión con el río paute,764452,9713106,Anual,Acuerdo_ministerial 97a_tabla 2,pH,28/12/2018 0:00,7.9,
Mazar,Agua de rio,Quebrada_llavircay,765376,9713983,Anual,Acuerdo_ministerial 97a_tabla 2,Turbiedad,28/12/2018 0:00,5.43,
Mazar,Agua de rio,Quebrada_llavircay,765376,9713983,Anual,Acuerdo_ministerial 97a_tabla 2,DBO5,28/12/2018 0:00,6,
Mazar,Agua de rio,Quebrada_llavircay,765376,9713983,Anual,Acuerdo_ministerial 97a_tabla 2,DQO,28/12/2018 0:00,10,
Mazar,Agua de rio,Quebrada_llavircay,765376,9713983,Anual,Acuerdo_ministerial 97a_tabla 2,Coliformes fecales,28/12/2018 0:00,17.1,
Mazar,Agua de rio,Quebrada_llavircay,765376,9713983,Anual,Acuerdo_ministerial 97a_tabla 2,pH,28/12/2018 0:00,7.2,
Mazar,Agua de rio,Antes de la central san antonio       ,763838,9713824,Anual,Acuerdo_ministerial 97a_tabla 2,Turbiedad,28/12/2018 0:00,17,
Mazar,Agua de rio,Antes de la central san antonio       ,763838,9713824,Anual,Acuerdo_ministerial 97a_tabla 2,DBO5,28/12/2018 0:00,6,
Mazar,Agua de rio,Antes de la central san antonio       ,763838,9713824,Anual,Acuerdo_ministerial 97a_tabla 2,DQO,28/12/2018 0:00,10,
Mazar,Agua de rio,Antes de la central san antonio       ,763838,9713824,Anual,Acuerdo_ministerial 97a_tabla 2,Coliformes fecales,28/12/2018 0:00,16,
Mazar,Agua de rio,Antes de la central san antonio       ,763838,9713824,Anual,Acuerdo_ministerial 97a_tabla 2,pH,28/12/2018 0:00,7.3,
Mazar,Agua de rio,Aguas_turbinadas,765744,9713690,Anual,Acuerdo_ministerial 97a_tabla 2,Turbiedad,28/12/2018 0:00,22,
Mazar,Agua de rio,Aguas_turbinadas,765744,9713690,Anual,Acuerdo_ministerial 97a_tabla 2,DBO5,28/12/2018 0:00,6,
Mazar,Agua de rio,Aguas_turbinadas,765744,9713690,Anual,Acuerdo_ministerial 97a_tabla 2,DQO,28/12/2018 0:00,12,
Mazar,Agua de rio,Aguas_turbinadas,765744,9713690,Anual,Acuerdo_ministerial 97a_tabla 2,Coliformes fecales,28/12/2018 0:00,9.8,
Mazar,Agua de rio,Aguas_turbinadas,765744,9713690,Anual,Acuerdo_ministerial 97a_tabla 2,pH,28/12/2018 0:00,6.9,
Mazar,Agua de rio,Antes de la central alazán,760333,9715272,Anual,Acuerdo_ministerial 97a_tabla 2,Coliformes fecales,19/09/2019 15:24,50.4,
Mazar,Agua de rio,Antes de la central alazán,760333,9715272,Anual,Acuerdo_ministerial 97a_tabla 2,DBO5,19/09/2019 15:24,6,
Mazar,Agua de rio,Antes de la central alazán,760333,9715272,Anual,Acuerdo_ministerial 97a_tabla 2,DQO,19/09/2019 15:24,10,
Mazar,Agua de rio,Antes de la central alazán,760333,9715272,Anual,Acuerdo_ministerial 97a_tabla 2,Oxígeno disuelto,19/09/2019 15:24,10.28,
