Central,Recurso,Punto_Medición,X_coord,Y_coord
Paute_sopladora,Suelo,Hormigonera_parte_baja,783729,9711967
Paute_mazar,Agua cruda,Jordán_1,766885,9707379
Paute_mazar,Agua cruda,Jordán_2,766881,9707409
Paute_molino,Agua de río,Chorro_blanco ,774278,9709212
Paute_molino,Agua de río,Chorro_blanco,774278,9709212
Paute_molino,Agua de río,Chorro_blanco,774278,9709212
Paute_molino,Agua de río,Chorro_blanco,774316,9709316
Paute_molino,Agua de río,Chorro_blanco,774316,9709316
Paute_molino,Agua de río,Chorro_blanco,774512,9709544
Paute_molino,Agua de río,Amaluza ,771211,9711176
Paute_molino,Agua de río,Amaluza,771211,9711176
Paute_molino,Agua de río,Amaluza,771211,9711176
Paute_molino,Agua de río,Amaluza                                                                                                                                                                                                                                           ,771219,9711180
Paute_molino,Agua de río,Amaluza,771219,9711180
Paute_sopladora,Suelo,Taller_ferralla_p1                                                                                                                                                                                                                                ,783469,9711183
Paute_sopladora,Suelo,Taller_feralla_p1                                                                                                                                                                                                                           ,783469,9711183
Paute_molino,Agua de río,Amaluza,771213,9711187
Paute_sopladora,Suelo,Escombrera 18_p2,783552,9711332
Paute_sopladora,Suelo,Escombrera 18_p1,783528,9711374
Paute_sopladora,Suelo,Taller_ferralla_p1,783455,9711457
Paute_sopladora,Suelo,Taller_ferralla_p2       ,783469,9711474
Paute_sopladora,Suelo,Taller_feralla_p2,783469,9711474
Paute_sopladora,Suelo,Taller_ferralla_p1              ,783425,9711492
Paute_sopladora,Suelo,Taller _feralla_p1,783425,9711492
Paute_sopladora,Suelo,Taller_ferralla_p2,783428,9711501
Paute_sopladora,Suelo,Taller_ferralla_p2                                                                                                                                                                                                                             ,783431,9711507
Paute_sopladora,Suelo,Taller_feralla_p2                                                                                                                                                                                                                           ,783431,9711507
Paute_sopladora,Suelo,Taller_automotriz_pesados_p4                                                                                                                                                                                                                   ,783333,9711520
Paute_sopladora,Suelo,Taller_automotriz_pesados_p4                                                                                                                                                                                                                ,783333,9711520
Paute_sopladora,Suelo,Área_de_parqueo_automotriz_pesados_p4,783714,9711528
Paute_sopladora,Suelo,Área_de_parqueo_automotriz_pesados_p4,783714,9711528
Paute_sopladora,Suelo,Área_de_parqueo_automotriz_pesados_p2,783321,9711531
Paute_sopladora,Suelo,Área_de_parqueo_automotriz_pesados_p3,783321,9711533
Paute_sopladora,Suelo,Área_de_parqueo_automotriz_pesados_p3,783321,9711533
Paute_sopladora,Suelo,Área_de_parqueo_automotriz_pesados_p2      ,783323,9711538
Paute_sopladora,Suelo,Área_de_parqueo_automotriz_pesados_p2,783323,9711538
Paute_sopladora,Suelo,Taller_automotriz_pesados_p3                                                                                                                                                                                                                   ,783365,9711540
Paute_sopladora,Suelo,Taller_automotriz_pesados_p3                                                                                                                                                                                                                ,783365,9711540
Paute_sopladora,Suelo,Área_de_parqueo_automotriz_pesados_p2,783325,9711540
Paute_sopladora,Suelo,Área_de_parqueo_automotriz_pesados_p2,783325,9711540
Paute_sopladora,Suelo,Área_de_parqueo_automotriz_pesados_p1,783325,9711547
Paute_sopladora,Suelo,Taller_automotriz_pesados_p4   ,783349,9711548
Paute_sopladora,Suelo,Taller_automotriz_pesados_p4,783349,9711548
Paute_sopladora,Suelo,Área_de_parqueo_automotriz_pesados_p1,783327,9711553
Paute_sopladora,Suelo,Área_de_parqueo_automotriz_pesados_p1,783327,9711553
Paute_sopladora,Suelo,Taller_automotriz_pesados_p2                                                                                                                                                                                                                   ,783369,9711556
Paute_sopladora,Suelo,Taller_automotriz_pesados_p2                                                                                                                                                                                                                ,783369,9711556
Paute_sopladora,Suelo,Taller_automotriz_pesados_p3,783366,9711560
Paute_sopladora,Suelo,Taller_automotriz_pesados_p3,783366,9711560
Paute_sopladora,Suelo,Taller_automotriz_pesados_p3,783366,9711561
Paute_sopladora,Suelo,Taller_automotriz_pesados_p2,783361,9711562
Paute_sopladora,Suelo,Taller_automoriz_pesados_p1,783347,9711563
Paute_sopladora,Lixiviados,Fosa_taller automotriz_pesados ,783368,9711564
Paute_sopladora,Suelo,Taller_automotriz_pesados_p4,783371,9711567
Paute_sopladora,Suelo,Taller_automotriz_pesados_p2          ,783370,9711568
Paute_sopladora,Suelo,Taller_automotriz_pesados_p2,783370,9711568
Paute_sopladora,Suelo,Área_de_parqueo_automotriz_pesados_p1   ,783327,9711568
Paute_sopladora,Suelo,Área_de_parqueo_automotriz_pesados_p1,783327,9711568
Paute_sopladora,Suelo,Taller_automotriz_pesados_p1      ,783346,9711570
Paute_sopladora,Suelo,Taller_automotriz_pesados_p1                                                                                                                                                                                                                   ,783346,9711570
Paute_sopladora,Suelo,Taller_automotriz_pesados_p1                                                                                                                                                                                                                   ,783356,9711575
Paute_sopladora,Suelo,Taller_automotriz_pesados_p1                                                                                                                                                                                                                ,783356,9711575
Paute_sopladora,Suelo,Taller_automotriz_livianos_p1                                                                                                                                                                                                                  ,783420,9711582
Paute_sopladora,Suelo,Taller_automotriz_livianos_p1                                                                                                                                                                                                               ,783420,9711582
Paute_sopladora,Suelo,Taller_automotriz_livianos_p2                                                                                                                                                                                                                  ,783418,9711594
Paute_sopladora,Suelo,Taller_automotriz_livianos_p2                                                                                                                                                                                                               ,783418,9711594
Paute_sopladora,Suelo,Taller_automotriz_livianos_p1   ,783369,9711594
Paute_sopladora,Suelo,Taller_automotriz_livianos_p1,783369,9711594
Paute_sopladora,Suelo,Taller_automotriz_livianos_p4                                                                                                                                                                                                                  ,783369,9711596
Paute_sopladora,Suelo,Taller_automotriz_livianos_p4                                                                                                                                                                                                               ,783369,9711596
Paute_sopladora,Suelo,Escombrera 19_p1,785037,9711598
Paute_sopladora,Suelo,Taller_automotriz_livianos_p1,783386,9711599
Paute_sopladora,Suelo,Taller_automotriz_livianos_p5                                                                                                                                                                                                                  ,783406,9711602
Paute_sopladora,Suelo,Taller_automotriz_livianos_p5                                                                                                                                                                                                               ,783406,9711602
Paute_sopladora,Suelo,Taller_automotriz_livianos_p2,783421,9711603
Paute_sopladora,Suelo,Taller_automotriz_livianos_p3                                                                                                                                                                                                                  ,783422,9711607
Paute_sopladora,Suelo,Taller_automotriz_livianos_p3                                                                                                                                                                                                               ,783422,9711607
Paute_sopladora,Suelo,Taller_automotriz_livianos_p2      ,783399,9711618
Paute_sopladora,Suelo,Taller_automotriz_livianos_p2,783399,9711618
Paute_sopladora,Lixiviados,Pozo_lixiviados,783580,9711636
Paute_sopladora,Suelo,Escombrera 19_p4,785069,9711641
Paute_sopladora,Suelo,escombrera 19_p3,785059,9711656
Paute_sopladora,Suelo,Escombrera 19_p2,785037,9711676
Paute_sopladora,Agua cruda,Quebrada_campamento,783218,9711758
Paute_sopladora,Agua cruda,Quebrada_campamento,783218,9711758
Paute_sopladora,Agua cruda,Quebrada_campamento,783218,9711758
Paute_sopladora,Agua cruda,Quebrada_campamento,783205,9711762
Paute_sopladora,Agua cruda,Quebrada_campamento,783201,9711764
Paute_sopladora,Agua cruda,Quebrada_campamento,783201,9711764
Paute_sopladora,Agua potable,Comedor,783452,9711789
Paute_sopladora,Agua potable,Comedor,783452,9711789
Paute_sopladora,Agua potable,Planta_de_agua_potable,783250,9711790
Paute_sopladora,Agua potable,Planta_de_agua_potable,783250,9711790
Paute_sopladora,Suelo,Escombrera 20_p1,784931,9711796
Paute_sopladora,Suelo,Escombrera 20_p2,784933,9711802
Paute_sopladora,Agua potable,Campamento,783422,9711823
Paute_sopladora,Agua potable,Campamento,783422,9711823
Paute_sopladora,Suelo,Gasolinera_p1       ,783009,9711838
Paute_sopladora,Suelo,Gasolinera_p1,783009,9711838
Paute_sopladora,Suelo,Campamento_sopladora_p1                                                                                                                                                                                                            ,783023,9711839
Paute_sopladora,Suelo,Campamento_general_zona_ptar                                                                                                                                                                                                     ,783023,9711839
Paute_sopladora,Suelo,Campamento_6_zona_ptar                                                                                                                                                                                                             ,783023,9711839
Paute_sopladora,Suelo,Gasolinera_p1,783023,9711839
Paute_sopladora,Suelo,Gasolinera_p1                                                                                                                                                                                                                               ,783008,9711848
Paute_sopladora,Suelo,Hormigonera_parte_alta   ,783711,9711849
Paute_sopladora,Suelo,Hormigonera_parte_alta          ,783681,9711862
Paute_sopladora,Suelo,Hormigonera_parte_alta          ,783681,9711862
Paute_sopladora,Suelo,Hormigonera_parte_alta                                                                                                                                                                                                                          ,783686,9711865
Paute_sopladora,Suelo,Gasolinera_p2,783018,9711865
Paute_sopladora,Suelo,Campamento_p2_detrás_de_tanques_de_almacenamiento                                                                                                                                                                      ,783012,9711876
Paute_sopladora,Suelo,Gasolinera_p2                                                                                                                                                                                                                               ,783012,9711876
Paute_sopladora,Suelo,Gasolinera_p2          ,783011,9711876
Paute_sopladora,Suelo,Gasolinera_p2,783011,9711876
Paute_sopladora,Agua residual,Aguas_turbinada ,785286,9711896
Paute_sopladora,Agua residual,Aguas_turbinada,785286,9711896
Paute_molino,Agua de río,Después_de_la_descarga_sopladora ,785286,9711896
Paute_molino,Agua de río,Después_de_la_descarga_sopladora,785286,9711896
Paute_molino,Agua de río,Después_de_la_descarga_sopladora,785286,9711896
Paute_sopladora,Suelo,Hormigonera_parte_media ,783699,9711904
Paute_sopladora,Suelo,Hormigonera_parte_media                                                                                                                                                                                                                         ,783793,9711924
Paute_sopladora,Suelo,Hormigonera _parte_media ,783700,9711926
Paute_sopladora,Suelo,Hormigonera_parte_media,783700,9711926
Paute_sopladora,Suelo,Hormigonera_parte_media,783700,9711926
Paute_sopladora,Suelo,Hormigonera_parte_baja                                                                                                                                                                                                                          ,783699,9711930
Paute_molino,Agua de río,Después_de_la_descarga_sopladora,785187,9711964
Paute_sopladora,Suelo,Hormigonera_parte_baja,783815,9711980
Paute_sopladora,Suelo,Hormigonera_parte_baja,783815,9711980
Paute_sopladora,Suelo,Hormigonera_parte_baja,783815,9711980
Paute_molino,Agua de río,Después_de_la_descarga_sopladora,785207,9712019
Paute_sopladora,Agua residual,Aguas_turbinada,785193,9712037
Paute_sopladora,Suelo,Escombrera _polvorín_p1,784781,9712197
Paute_sopladora,Suelo,Escombrera_polvorín_p2,784771,9712208
Paute_molino,Agua de río,Pie_de_presa_daniel_palacios                                                                                                                                                                                                                              ,770863,9712648
Paute_molino,Agua de río,Pie_de_presa_daniel_palacios                                                                                                                                                                                                                              ,770863,9712648
Paute_molino,Agua de río,Pie_de_presa_daniel_palacios                                                                                                                                                                                                                              ,770863,9712648
Paute_molino,Agua de río,Pie_de_presa_daniel_palacios                                                                                                                                                                                                                              ,770893,9712704
Paute_molino,Suelo,Escombrera_patio_de_maniobra         ,781419,9712842
Paute_molino,Agua de río,Pie_de_presa_daniel_palacios                                                                                                                                                                                                                              ,770653,9712842
Paute_molino,Agua cruda,Presa_daniel_palacios,770365,9712905
Paute_sopladora,Agua cruda,Casa_de_máquinas ,783740,9712914
Paute_sopladora,Agua potable,Casa_de_máquinas,783740,9712914
Paute_sopladora,Agua potable,Planta_de_agua_potable casa_de_máquinas,783740,9712914
Paute_sopladora,Agua potable,Casa_de_máquinas,783740,9712914
Paute_sopladora,Agua potable,Planta_agua_potable casa_de_máquinas,783740,9712914
Paute_sopladora,Agua residual,Casa_de_máquinas,783740,9712914
Paute_sopladora,Agua residual,Casa_de_máquinas,783740,9712914
Paute_molino,Agua residual,Aguas_turbinadas_camara_de_interconexión,785187,9712940
Paute_mazar,Agua de río,Antes_de_la_unión_con_el_río_paute,764452,9713106
Paute_mazar,Agua de río,Antes_de_la_unión_con_el_río_paute,764452,9713106
Paute_mazar,Agua de río,Antes_de_la_unión_con_el_río_paute,764452,9713106
Paute_mazar,Agua de río,Antes_de_la_unión_con_el_río_paute,764452,9713106
Paute_mazar,Agua de río,Antes_de_la_unión_con_el_río_paute,764452,9713106
Paute_mazar,Agua cruda,Casa_de_máquinas,765417,9713190
Paute_mazar,Agua cruda,Casa_de_máquinas,765417,9713190
Paute_mazar,Agua de río,Antes_de_la_unión_con_el_río_paute,764337,9713200
Paute_mazar,Agua cruda,Casa_de_máquinas ,765114,9713222
Paute_mazar,Suelo,Bodega_sector almacenamiento_de_aceites                                                                                                                                                                                         ,765158,9713223
Paute_mazar,Suelo,Bodega_p1                                                                                                                                                                                                                                  ,765158,9713223
Paute_mazar,Agua potable,Casa_de_máquinas,765111,9713226
Paute_mazar,Agua residual,Ptar_casa_de_máquinas_salida,765104,9713226
Paute_mazar,Agua residual,Ptar_casa_de_máquinas_entrada,765104,9713228
Paute_mazar,Suelo,Bodega_p2                                                                                              ,765201,9713240
Paute_mazar,Agua residual,Casa_de_máquinas,765645,9713282
Paute_mazar,Agua residual,Casa_de_máquinas,765645,9713282
Paute_mazar,Agua cruda,Casa_de_máquinas_ingreso ,765498,9713304
Paute_mazar,Agua cruda,Casa_de_máquinas_ingreso ,765498,9713304
Paute_mazar,Agua cruda,Casa_de_máquinas_ingreso,765498,9713304
Paute_mazar,Agua potable,Casa_de_máquinas_baño varones ,765498,9713304
Paute_mazar,Agua potable,Casa_de_máquinas_cafetería ,765498,9713304
Paute_mazar,Agua potable,Casa_de_máquinas_baño varones ,765498,9713304
Paute_mazar,Agua potable,Casa_de_máquinas_baño de varones,765498,9713304
Paute_mazar,Agua residual,Ptar_casa_de_máquinas_salida,765498,9713304
Paute_mazar,Agua residual,Ptar_casa_de_máquinas_entrada,765498,9713304
Paute_mazar,Agua residual,Ptar_casa_de_máquinas_entrada,765498,9713304
Paute_mazar,Agua residual,Ptar_casa_de_máquinas_salida,765498,9713304
Paute_mazar,Agua residual,Ptar_casa_de_máquinas_entrada,765498,9713304
Paute_mazar,Agua residual,Ptar_casa_de_máquinas_salida,765498,9713304
Paute_sopladora,Agua residual,Ptar_casa_de_máquinas_salida,765498,9713304
Paute_mazar,Suelo,Escombrera_p2                                                                                                                                                                                                                                 ,764341,9713319
Paute_mazar,Suelo,Central_entrada por_san_pablo_p1,766056,9713334
Paute_mazar,Suelo,Parte_alta 1_gasolinera                                                                                                                                                                                                                                ,766056,9713334
Paute_mazar,Suelo,Talleres_detrás_de_la_gasolinera,766059,9713352
Paute_mazar,Suelo,Talleres_mazar ,766087,9713355
Paute_mazar,Suelo,Talleres_mazar,766087,9713355
Paute_mazar,Suelo,Central_entrada por_san_pablo_p2_parte_alta ,766054,9713367
Paute_mazar,Suelo,Parte_alta 2_gasolinera                            ,766054,9713367
Paute_mazar,Agua residual,Trampa_de_grasas_gasolinera,766017,9713375
Paute_mazar,Suelo,Gasolinera_p2,766023,9713378
Paute_mazar,Suelo,Gasolinera_p1_Lado_Derecho ,766069,9713380
Paute_mazar,Suelo,Gasolinera_p1,766069,9713380
Paute_mazar,Suelo,Gasolinera_p2,766069,9713380
Paute_mazar,Suelo,Gasolinera_p1,766069,9713380
Paute_mazar,Suelo,Gasolinera_p2,766069,9713380
Paute_sopladora,Suelo,Gasolinera_p1,766069,9713380
Paute_sopladora,Suelo,Gasolinera_p2,766069,9713380
Paute_mazar,Agua residual,Trampa_de_grasas_gasolinera,766016,9713380
Paute_mazar,Agua residual,Trampa_de_grasas_gasolinera,766016,9713380
Paute_mazar,Agua residual,Trampa_de_grasas_gasolinera,766033,9713382
Paute_mazar,Agua residual,Trampa_de_grasas_gasolinera,766033,9713382
Paute_mazar,Agua residual,Trampa_de_grasas_gasolinera,766033,9713382
Paute_sopladora,Agua potable,Edificio_de_control,781715,9713383
Paute_sopladora,Agua potable,Edificio_de_control,781715,9713383
Paute_sopladora,Agua cruda,Casa_de_máquinas ,781709,9713383
Paute_sopladora,Agua potable,Casa de máquinas_oficina,781709,9713383
Paute_sopladora,Agua potable,Planta _agua potable casa_de_máquinas,781709,9713383
Paute_mazar,Suelo,Gasolinera_p1,766029,9713385
Paute_mazar,Suelo,Gasolinera_p1                                                                                                                                                                                                                                           ,766033,9713386
Paute_sopladora,Agua potable,Edificio_de_control,781730,9713389
Paute_sopladora,Agua residual,Ptar_campamento,781730,9713389
Paute_sopladora,Agua residual,Ptar_casa_de_máquinas_entrada,781730,9713389
Paute_sopladora,Agua residual,Ptar_casa_de_máquinas_salida,781730,9713389
Paute_sopladora,Agua residual,Ptar_patio_de_maniobras,781730,9713389
Paute_mazar,Suelo,Parte_lateral_gasolinera          ,766022,9713389
Paute_mazar,Suelo,Parte_posterior_gasolinera,766027,9713390
Paute_sopladora,Agua residual,Ptar_patio_de_maniobras,781734,9713393
Paute_sopladora,Agua residual,Ptar_patio_de_maniobras,781734,9713393
Paute_mazar,Agua residual,Aguas_turbinada_tunel,765048,9713470
Paute_molino,Suelo,Escombrera_ventana 2,781731,9713522
Paute_mazar,Suelo,Escombrera_p1                                                                                                                                                                                                                                      ,764196,9713632
Paute_mazar,Agua residual,Aguas_turbinada,765750,9713686
Paute_sopladora,Agua residual,Aguas_turbinada,765750,9713686
Paute_mazar,Agua residual,Aguas_turbinadas,765744,9713690
Paute_mazar,Agua de río,Agua_turbinada,765744,9713690
Paute_mazar,Agua residual,Aguas_turbinada,765736,9713693
Paute_mazar,Suelo,Escombrera_llavircay 2                                                                                                                                                                                                                               ,765738,9713763
Paute_mazar,Suelo,Escombrera_llavircay_sector_garita                              ,765466,9713769
Paute_mazar,Suelo,Escombrera_llavircay                                                                                                                                                                                                                                   ,765466,9713769
Paute_mazar,Agua de río,Antes_de_la_central_san_antonio       ,763838,9713824
Paute_mazar,Agua de río,Antes_de_la_central_san_antonio       ,763838,9713824
Paute_sopladora,Agua residual,Peñas_coloradas,782422,9713831
Paute_mazar,Suelo,Escombrera_llarvicay,765574,9713848
Paute_mazar,Agua residual,Aguas_turbinada,765750,9713866
Paute_sopladora,Agua cruda,Casa_de_máquinas _planta de tratamiento ,781001,9713876
Paute_sopladora,Agua cruda,Casa_de_máquinas _planta de tratamiento,781001,9713876
Paute_sopladora,Agua potable,Casa_de_máquinas_planta de tratamiento,781001,9713876
Paute_sopladora,Agua potable,Casa_de_máquinas_cafetería,781001,9713876
Paute_sopladora,Agua potable,Patio_de_maniobras,781001,9713876
Paute_sopladora,Agua potable,Planta _agua_potable casa_de_máquinas,781001,9713876
Paute_sopladora,Agua potable,Patio_de_maniobras,781001,9713876
Paute_sopladora,Agua potable,Planta _agua_potable casa_de_máquinas,781001,9713876
Paute_sopladora,Agua potable,Baño_sala_de_reporte,781001,9713876
Paute_sopladora,Agua residual,Ptar_casa_de_máquinas_entrada,781001,9713876
Paute_sopladora,Agua residual,Ptar_casa_de_máquinas_salida ,781001,9713876
Paute_sopladora,Agua residual,Ptar_casa_de_máquinas_entrada,781001,9713876
Paute_sopladora,Agua residual,Ptar_casa_de_máquinas_salida,781001,9713876
Paute_sopladora,Agua residual,Ptar_casa_de_máquinas_entrada,781001,9713876
Paute_mazar,Agua de río,Quebrada_llavircay,765376,9713983
Paute_molino,Agua cruda,Quebrada_campamento,777901,9714105
Paute_molino,Agua cruda,Quebrada_campamento,777933,9714118
Paute_molino,Agua cruda,Quebrada_campamento ,777930,9714120
Paute_molino,Agua cruda,Quebrada_campamento,777930,9714120
Paute_molino,Agua potable,Planta_de_agua,777950,9714128
Paute_molino,Agua potable,Planta_de_agua,777950,9714128
Paute_molino,Suelo,Planta_de_agua_p1,777936,9714133
Paute_molino,Agua potable,Planta_de_agua_potable,777949,9714136
Paute_molino,Agua potable,Planta_de_agua_potable,777949,9714137
Paute_molino,Agua potable,Planta_de_agua_potable,777949,9714137
Paute_molino,Suelo,Planta_de_agua_p2,777949,9714137
Paute_molino,Agua potable,Campamento_malvinas_bloque 8,777293,9714137
Paute_molino,Agua potable,Campamento_ planta_de_tratamiento,777958,9714148
Paute_molino,Agua potable,Pinos_villa 14,778013,9714278
Paute_molino,Agua potable,Pinos_villa 14,778013,9714278
Paute_molino,Agua potable,Campamento_ villa_pinos,777922,9714310
Paute_molino,Agua potable,Villa,777938,9714322
Paute_molino,Agua potable,Villa,777938,9714322
Paute_molino,Agua potable,Campamento_malvinas,777797,9714460
Paute_molino,Agua potable,Campamento_malvinas,777787,9714460
Paute_molino,Suelo,Taller_automotriz,777157,9714470
Paute_molino,Suelo,Taller_automotriz,777157,9714470
Paute_molino,Agua potable,Taller,777173,9714474
Paute_molino,Agua residual,Trampa_de_grasas_taller_automotriz,777170,9714476
Paute_molino,Agua residual,Taller_automotriz,777170,9714476
Paute_molino,Agua potable,Cafetería_casa_de_máquinas 2,777173,9714477
Paute_molino,Agua potable,Casa_de_máquinas,777173,9714477
Paute_molino,Agua residual,Casa_de_máquinas,777173,9714477
Paute_molino,Agua residual,Casa_de_máquinas,777173,9714477
Paute_molino,Agua residual,Casa_de_máquinas,777173,9714477
Paute_molino,Agua potable,Casa_de_máquinas,771733,9714477
Paute_molino,Agua potable,Cafetería_casa_de_máquinas,771733,9714477
Paute_molino,Agua residual,Trampa_de_grasas_taller_automotriz ,777168,9714478
Paute_molino,Agua residual,Trampa_de_grasas_taller_automotriz,777168,9714478
Paute_molino,Agua residual,Trampa_de_grasas_taller_automotriz,777168,9714478
Paute_molino,Agua residual,Trampa_de_grasas_taller_automotriz,777163,9714478
Paute_molino,Suelo,Taller_automotriz _trampa_de_grasa                        ,777166,9714480
Paute_molino,Suelo,Taller_automotriz,777166,9714480
Paute_molino,Suelo,Taller_automotriz _trampa_de_grasa,777162,9714481
Paute_molino,Suelo,Taller_mecánico_p1      ,777465,9714592
Paute_molino,Suelo,Taller_mecánico_p2      ,777487,9714596
Paute_molino,Suelo,Taller_mecánico_p2,777487,9714596
Paute_molino,Agua potable,Taller_automotriz,777492,9714606
Paute_molino,Agua potable,Taller_mecánico,777492,9714606
Paute_molino,Suelo,Taller_mecánico_p2,777465,9714607
Paute_molino,Suelo,Taller_mecánico_p1,777458,9714608
Paute_molino,Suelo,Taller_mecánico ,777461,9714610
Paute_molino,Suelo,Taller_mecánico,777461,9714610
Paute_molino,Agua potable,Cocina,777681,9714646
Paute_molino,Suelo,Taller_carpintería,777507,9714661
