Central,Recurso,Punto_de_medición,X_coord,Y_coord,Frecuencia ,Norma_tabla,Parámetro,Fecha,Medición,Observación
Mazar,Agua cruda,Quebrada_campamento,770561,9715968,Semestral,Acuerdo_ministerial 97a_tabla 1,Coliformes fecales,19/03/2018 11:42,1,
Mazar,Agua cruda,Quebrada_campamento,770561,9715968,Semestral,Acuerdo_ministerial 97a_tabla 1,Color real,19/03/2018 11:42,10,
Mazar,Agua cruda,Quebrada_campamento,770561,9715968,Semestral,Acuerdo_ministerial 97a_tabla 1,DBO5,19/03/2018 11:42,1.89,
Mazar,Agua cruda,Quebrada_campamento,770561,9715968,Semestral,Acuerdo_ministerial 97a_tabla 1,Hierro,19/03/2018 11:42,0.0047,
Mazar,Agua cruda,Quebrada_campamento,770561,9715968,Semestral,Acuerdo_ministerial 97a_tabla 1,pH,19/03/2018 11:42,7.17,
Mazar,Agua cruda,Quebrada_campamento,770561,9715968,Semestral,Acuerdo_ministerial 97a_tabla 1,Turbiedad,19/03/2018 11:42,0.14,
Mazar,Agua cruda,Casa_de_máquinas,765417,9713190,Semestral,Acuerdo_ministerial 97a_tabla 1,Coliformes fecales,18/03/2018 9:20,1,
Mazar,Agua cruda,Casa_de_máquinas,765417,9713190,Semestral,Acuerdo_ministerial 97a_tabla 1,Color real,18/03/2018 9:20,13,
Mazar,Agua cruda,Casa_de_máquinas,765417,9713190,Semestral,Acuerdo_ministerial 97a_tabla 1,DBO5,18/03/2018 9:20,1.29,
Mazar,Agua cruda,Casa_de_máquinas,765417,9713190,Semestral,Acuerdo_ministerial 97a_tabla 1,Hierro,18/03/2018 9:20,0.0137,
Mazar,Agua cruda,Casa_de_máquinas,765417,9713190,Semestral,Acuerdo_ministerial 97a_tabla 1,pH,18/03/2018 9:20,6.91,
Mazar,Agua cruda,Casa_de_máquinas,765417,9713190,Semestral,Acuerdo_ministerial 97a_tabla 1,Turbiedad,18/03/2018 9:20,0.63,
Mazar,Agua cruda,Jordán_1,766885,9707379,Anual,Acuerdo_ministerial 97a_tabla 1,Coliformes fecales,28/12/2018 10:00,1,
Mazar,Agua cruda,Jordán_1,766885,9707379,Anual,Acuerdo_ministerial 97a_tabla 1,Color real,28/12/2018 10:00,6,
Mazar,Agua cruda,Jordán_1,766885,9707379,Anual,Acuerdo_ministerial 97a_tabla 1,Hierro,28/12/2018 10:00,0.25,
Mazar,Agua cruda,Jordán_1,766885,9707379,Anual,Acuerdo_ministerial 97a_tabla 1,Turbiedad,28/12/2018 10:00,15.7,
Mazar,Agua cruda,Jordán_2,766881,9707409,Anual,Acuerdo_ministerial 97a_tabla 1,Coliformes fecales,28/12/2018 10:00,3.1,
Mazar,Agua cruda,Jordán_2,766881,9707409,Anual,Acuerdo_ministerial 97a_tabla 1,Color real,28/12/2018 10:00,19,
Mazar,Agua cruda,Jordán_2,766881,9707409,Anual,Acuerdo_ministerial 97a_tabla 1,Hierro,28/12/2018 10:00,0.25,
Mazar,Agua cruda,Jordán_2,766881,9707409,Anual,Acuerdo_ministerial 97a_tabla 1,pH,28/12/2018 10:00,7,
Mazar,Agua cruda,Jordán_2,766881,9707409,Anual,Acuerdo_ministerial 97a_tabla 1,Turbiedad,28/12/2018 10:00,4.24,
Mazar,Agua cruda,Casa_de_máquinas,765417,9713190,Anual,Acuerdo_ministerial 97a_tabla 1,Coliformes fecales,27/12/2018 10:00,1,
Mazar,Agua cruda,Casa_de_máquinas,765417,9713190,Anual,Acuerdo_ministerial 97a_tabla 1,Color real,27/12/2018 10:00,1,
Mazar,Agua cruda,Casa_de_máquinas,765417,9713190,Anual,Acuerdo_ministerial 97a_tabla 1,Hierro,27/12/2018 10:00,0.25,
Mazar,Agua cruda,Casa_de_máquinas,765417,9713190,Anual,Acuerdo_ministerial 97a_tabla 1,pH,27/12/2018 10:00,7.8,
Mazar,Agua cruda,Casa_de_máquinas,765417,9713190,Anual,Acuerdo_ministerial 97a_tabla 1,Turbiedad,27/12/2018 10:00,0.76,
Mazar,Agua cruda,Campamento_captación_arenales,770445,9715821,Anual,Acuerdo_ministerial 97a_tabla 1,Coliformes fecales,27/12/2018 10:00,1,
Mazar,Agua cruda,Campamento_captación_arenales,770445,9715821,Anual,Acuerdo_ministerial 97a_tabla 1,Color real,27/12/2018 10:00,1,
Mazar,Agua cruda,Campamento_captación_arenales,770445,9715821,Anual,Acuerdo_ministerial 97a_tabla 1,Hierro,27/12/2018 10:00,0.25,
Mazar,Agua cruda,Campamento_captación_arenales,770445,9715821,Anual,Acuerdo_ministerial 97a_tabla 1,pH,27/12/2018 10:00,7.2,
Mazar,Agua cruda,Campamento_captación_arenales,770445,9715821,Anual,Acuerdo_ministerial 97a_tabla 1,Turbiedad,27/12/2018 10:00,0.15,
Mazar,Agua cruda,Quebrada_campamento ,770561,9715968,Anual,Acuerdo_ministerial 97a_tabla 1,Aluminio,18/09/2019 16:33,0.1,
Mazar,Agua cruda,Quebrada_campamento ,770561,9715968,Anual,Acuerdo_ministerial 97a_tabla 1,DBO5,18/09/2019 16:33,6,
Mazar,Agua cruda,Quebrada_campamento ,770561,9715968,Anual,Acuerdo_ministerial 97a_tabla 1,Hierro,18/09/2019 16:33,0.25,
Mazar,Agua cruda,Quebrada_campamento ,770561,9715968,Anual,Acuerdo_ministerial 97a_tabla 1,Manganeso,18/09/2019 16:33,0.1,
Mazar,Agua cruda,Quebrada_campamento ,770561,9715968,Anual,Acuerdo_ministerial 97a_tabla 1,Níquel,18/09/2019 16:33,0.025,
Mazar,Agua cruda,Quebrada_campamento ,770561,9715968,Anual,Acuerdo_ministerial 97a_tabla 1,Oxígeno disuelto,18/09/2019 16:33,10.46,
Mazar,Agua cruda,Quebrada_campamento ,770561,9715968,Anual,Acuerdo_ministerial 97a_tabla 1,pH,18/09/2019 16:33,7.9,
Mazar,Agua cruda,Casa_de_máquinas ,765114,9713222,Anual,Acuerdo_ministerial 97a_tabla 1,Aluminio,18/09/2019 16:33,0.1,
Mazar,Agua cruda,Casa_de_máquinas ,765114,9713222,Anual,Acuerdo_ministerial 97a_tabla 1,DBO5,18/09/2019 16:33,6,
