Central,Recurso,Punto_de_medición,X_coord,Y_coord,Frecuencia ,Norma_tabla,Parámetro,Fecha,Medición,Observación
Mazar,Lixiviados,Pozo_Lixiviados,777915,9714792,Semestral,Acuerdo_ministerial 97a_tabla 9,Sólidos suspendidos totales ,20/03/2018 11:57,25,
Mazar,Lixiviados,Pozo_Lixiviados,777915,9714792,Semestral,Acuerdo_ministerial 97a_tabla 9,Amonio expresado como nitrógeno,20/03/2018 11:57,6.844,
Mazar,Lixiviados,Pozo_Lixiviados,777915,9714792,Semestral,Acuerdo_ministerial 97a_tabla 9,Nitrógeno total kjeldahl,20/03/2018 11:57,11.25,
Mazar,Lixiviados,Pozo_Lixiviados,777915,9714792,Semestral,Acuerdo_ministerial 97a_tabla 9,Sulfuro,20/03/2018 11:57,0.105,
Mazar,Lixiviados,Pozo_Lixiviados,777915,9714792,Semestral,Acuerdo_ministerial 97a_tabla 9,Aluminio,20/03/2018 11:57,0.3012,
Mazar,Lixiviados,Pozo_Lixiviados,777915,9714792,Semestral,Acuerdo_ministerial 97a_tabla 9,Hierro,20/03/2018 11:57,2.612,
Mazar,Lixiviados,Pozo_Lixiviados,777915,9714792,Semestral,Acuerdo_ministerial 97a_tabla 9,Manganeso,20/03/2018 11:57,0.1787,
Mazar,Lixiviados,Pozo_Lixiviados,777915,9714792,Semestral,Acuerdo_ministerial 97a_tabla 9,Níquel,20/03/2018 11:57,0.0004,
Mazar,Lixiviados,Pozo_Lixiviados,777915,9714792,Semestral,Acuerdo_ministerial 97a_tabla 9,Fósforo,20/03/2018 11:57,0.464,
Mazar,Lixiviados,Pozo_Lixiviados,777915,9714792,Semestral,Acuerdo_ministerial 97a_tabla 9,Zinc,20/03/2018 11:57,0.7617,
Mazar,Lixiviados,Pozo_Lixiviados,777915,9714792,Semestral,Acuerdo_ministerial 97a_tabla 9,Aceites y grasas,20/03/2018 11:57,0.67,
Mazar,Lixiviados,Pozo_Lixiviados,777915,9714792,Semestral,Acuerdo_ministerial 97a_tabla 9,DBO5,20/03/2018 11:57,45.84,
Mazar,Lixiviados,Pozo_Lixiviados,777915,9714792,Semestral,Acuerdo_ministerial 97a_tabla 9,DQO,20/03/2018 11:57,101.59,
