Central,Recurso,Punto_de_medición,X_coord,Y_coord,Frecuencia ,Norma_tabla,Parámetro,Fecha,Medición,Observación
Mazar,Suelo ,Central_entrada por_san_pablo_p1,766056,9713334,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,pH,19/03/2018 10:04,5.91,
Mazar,Suelo ,Central_entrada por_san_pablo_p1,766056,9713334,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Cromo hexavalente,19/03/2018 10:04,0.01,
Mazar,Suelo ,Central_entrada por_san_pablo_p1,766056,9713334,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Cobre,19/03/2018 10:04,75.31,
Mazar,Suelo ,Central_entrada por_san_pablo_p1,766056,9713334,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Níquel,19/03/2018 10:04,6.39,
Mazar,Suelo ,Central_entrada por_san_pablo_p1,766056,9713334,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Plomo,19/03/2018 10:04,73.8,
Mazar,Suelo ,Central_entrada por_san_pablo_p1,766056,9713334,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Vanadio,19/03/2018 10:04,33.25,
Mazar,Suelo ,Central_entrada por_san_pablo_p1,766056,9713334,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Aceites y grasas,19/03/2018 10:04,1355.8,
Mazar,Suelo ,Central_entrada por_san_pablo_p1,766056,9713334,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Hidrocarburos_aromáticos_policiclicos,19/03/2018 10:04,0.02,
Mazar,Suelo ,Central_entrada por_san_pablo_p1,766056,9713334,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Bifenilos policlorados pcbs,19/03/2018 10:04,0.001,
Mazar,Suelo ,Central_entrada por_san_pablo_p1,766056,9713334,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Benceno,19/03/2018 10:04,0.01,
Mazar,Suelo ,Central_entrada por_san_pablo_p1,766056,9713334,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Etilbenceno,19/03/2018 10:04,0.01,
Mazar,Suelo ,Central_entrada por_san_pablo_p1,766056,9713334,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Tolueno,19/03/2018 10:04,0.01,
Mazar,Suelo ,Central_entrada por_san_pablo_p1,766056,9713334,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Xileno,19/03/2018 10:04,0.01,
Mazar,Suelo ,Central_entrada por_san_pablo_p1,766056,9713334,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Clorobenceno,19/03/2018 10:04,0.02,
Mazar,Suelo ,Central_entrada por_san_pablo_p1,766056,9713334,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Estireno,19/03/2018 10:04,0.02,
Mazar,Suelo ,Central_entrada por_san_pablo_p2_parte_alta ,766054,9713367,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,pH,19/03/2018 10:12,7.05,
Mazar,Suelo ,Central_entrada por_san_pablo_p2_parte_alta ,766054,9713367,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Cromo hexavalente,19/03/2018 10:12,0.01,
Mazar,Suelo ,Central_entrada por_san_pablo_p2_parte_alta ,766054,9713367,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Cobre,19/03/2018 10:12,86.49,
Mazar,Suelo ,Central_entrada por_san_pablo_p2_parte_alta ,766054,9713367,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Níquel,19/03/2018 10:12,23.44,
Mazar,Suelo ,Central_entrada por_san_pablo_p2_parte_alta ,766054,9713367,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Plomo,19/03/2018 10:12,25.9,
Mazar,Suelo ,Central_entrada por_san_pablo_p2_parte_alta ,766054,9713367,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Vanadio,19/03/2018 10:12,85.72,
Mazar,Suelo ,Central_entrada por_san_pablo_p2_parte_alta ,766054,9713367,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Aceites y grasas,19/03/2018 10:12,2571,
Mazar,Suelo ,Central_entrada por_san_pablo_p2_parte_alta ,766054,9713367,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Hidrocarburos_aromáticos_policiclicos,19/03/2018 10:12,0.03,
Mazar,Suelo ,Central_entrada por_san_pablo_p2_parte_alta ,766054,9713367,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Bifenilos policlorados pcbs,19/03/2018 10:12,0.001,
Mazar,Suelo ,Central_entrada por_san_pablo_p2_parte_alta ,766054,9713367,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Benceno,19/03/2018 10:12,0.01,
Mazar,Suelo ,Central_entrada por_san_pablo_p2_parte_alta ,766054,9713367,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Etilbenceno,19/03/2018 10:12,0.01,
Mazar,Suelo ,Central_entrada por_san_pablo_p2_parte_alta ,766054,9713367,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Tolueno,19/03/2018 10:12,0.01,
Mazar,Suelo ,Central_entrada por_san_pablo_p2_parte_alta ,766054,9713367,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Xileno,19/03/2018 10:12,0.01,
Mazar,Suelo ,Central_entrada por_san_pablo_p2_parte_alta ,766054,9713367,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Clorobenceno,19/03/2018 10:12,0.02,
Mazar,Suelo ,Central_entrada por_san_pablo_p2_parte_alta ,766054,9713367,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Estireno,19/03/2018 10:12,0.02,
Mazar,Suelo ,Bodega_sector almacenamiento_de_aceites                                                                                                                                                                                         ,765158,9713223,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,pH,19/03/2018 9:54,8.9,
Mazar,Suelo ,Bodega_sector almacenamiento_de_aceites                                                                                                                                                                                         ,765158,9713223,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Cromo hexavalente,19/03/2018 9:54,0.01,
Mazar,Suelo ,Bodega_sector almacenamiento_de_aceites                                                                                                                                                                                         ,765158,9713223,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Cobre,19/03/2018 9:54,77501,
Mazar,Suelo ,Bodega_sector almacenamiento_de_aceites                                                                                                                                                                                         ,765158,9713223,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Níquel,19/03/2018 9:54,5937,
Mazar,Suelo ,Bodega_sector almacenamiento_de_aceites                                                                                                                                                                                         ,765158,9713223,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Plomo,19/03/2018 9:54,11.2,
Mazar,Suelo ,Bodega_sector almacenamiento_de_aceites                                                                                                                                                                                         ,765158,9713223,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Vanadio,19/03/2018 9:54,26281,
Mazar,Suelo ,Bodega_sector almacenamiento_de_aceites                                                                                                                                                                                         ,765158,9713223,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Aceites y grasas,19/03/2018 9:54,961.9,
Mazar,Suelo ,Bodega_sector almacenamiento_de_aceites                                                                                                                                                                                         ,765158,9713223,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Hidrocarburos_aromáticos_policiclicos,19/03/2018 9:54,0.03,
Mazar,Suelo ,Bodega_sector almacenamiento_de_aceites                                                                                                                                                                                         ,765158,9713223,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Bifenilos policlorados pcbs,19/03/2018 9:54,0.001,
Mazar,Suelo ,Bodega_sector almacenamiento_de_aceites                                                                                                                                                                                         ,765158,9713223,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Benceno,19/03/2018 9:54,0.01,
Mazar,Suelo ,Bodega_sector almacenamiento_de_aceites                                                                                                                                                                                         ,765158,9713223,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Etilbenceno,19/03/2018 9:54,0.01,
Mazar,Suelo ,Bodega_sector almacenamiento_de_aceites                                                                                                                                                                                         ,765158,9713223,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Tolueno,19/03/2018 9:54,0.01,
Mazar,Suelo ,Bodega_sector almacenamiento_de_aceites                                                                                                                                                                                         ,765158,9713223,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Xileno,19/03/2018 9:54,0.01,
Mazar,Suelo ,Bodega_sector almacenamiento_de_aceites                                                                                                                                                                                         ,765158,9713223,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Clorobenceno,19/03/2018 9:54,0.02,
Mazar,Suelo ,Bodega_sector almacenamiento_de_aceites                                                                                                                                                                                         ,765158,9713223,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Estireno,19/03/2018 9:54,0.02,
Mazar,Suelo ,Escombrera_llavircay_sector_garita                     ,765466,9713769,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,pH,19/03/2018 9:30,8.31,
Mazar,Suelo ,Escombrera_llavircay_sector_garita                     ,765466,9713769,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Cromo hexavalente,19/03/2018 9:30,0.01,
Mazar,Suelo ,Escombrera_llavircay_sector_garita                     ,765466,9713769,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Cobre,19/03/2018 9:30,94447,
Mazar,Suelo ,Escombrera_llavircay_sector_garita                     ,765466,9713769,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Níquel,19/03/2018 9:30,8964,
Mazar,Suelo ,Escombrera_llavircay_sector_garita                     ,765466,9713769,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Plomo,19/03/2018 9:30,3.1,
Mazar,Suelo ,Escombrera_llavircay_sector_garita                     ,765466,9713769,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Vanadio,19/03/2018 9:30,50919,
Mazar,Suelo ,Escombrera_llavircay_sector_garita                     ,765466,9713769,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Aceites y grasas,19/03/2018 9:30,2338.4,
Mazar,Suelo ,Escombrera_llavircay_sector_garita                     ,765466,9713769,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Hidrocarburos_aromáticos_policiclicos,19/03/2018 9:30,0.07,
Mazar,Suelo ,Escombrera_llavircay_sector_garita                     ,765466,9713769,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Bifenilos policlorados pcbs,19/03/2018 9:30,0.001,
Mazar,Suelo ,Escombrera_llavircay_sector_garita                     ,765466,9713769,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Benceno,19/03/2018 9:30,0.01,
Mazar,Suelo ,Escombrera_llavircay_sector_garita                     ,765466,9713769,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Etilbenceno,19/03/2018 9:30,0.01,
Mazar,Suelo ,Escombrera_llavircay_sector_garita                     ,765466,9713769,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Tolueno,19/03/2018 9:30,0.01,
