Parámetro,Unidad ,Límite_mínimo,Límite_máximo
Aceites y grasas,mg/l,0,0.3
Arsénico,mg/l,0,0.01
Coliformes fecales,nmp/100ml,0,1.1
Bario,mg/l,0,0.7
Cadmio,mg/l,0,0.003
Cianuro,mg/l,0,0.07
Cobre,mg/l,0,2
Color real,u. pt-co,0,15
Cromo hexavalente,mg/l,0,0.05
Fluoruro,mg/l,0,1.5
DQO,mg/l,0,4
DBO5,mg/l,0,2
Hierro,mg/l,0,1
Mercurio,mg/l,0,0.006
Nitratos,mg/l,0,50
Nitritos,mg/l,0,3
pH,unid pH,6,9
Plomo,mg/l,0,0.01
Selenio,mg/l,0,0.04
Sulfatos,mg/l,0,500
Hidrocarburos totales de petróleo,mg/l,0,0.2
Turbiedad,unt,0,5
Cloro residual,mg/l,0.3,1.5
Conductividad,uS/cm,0,1500
Dureza total,mg/l,0,500
